Year,Rank,Id,Name,Position,Team,Receptions,Targets,Yards,YPC,Touchdowns,YPG,Fumbles
2003,189,1795,Rob Konrad,FB,MIA,16,0,166,10.4,0,11.9,0
2003,189,4960,Cortez Hankton,WR,JAX,17,0,166,9.8,0,10.4,0
2003,191,516,Frank Wycheck,TE,TEN,17,0,165,9.7,2,16.5,0
2003,192,930,Eddie George,RB,TEN,22,0,163,7.4,0,10.2,1
2003,193,4929,Casey Fitzsimmons,TE,DET,23,0,160,7.0,2,10.0,0
2003,194,979,Stephen Davis,RB,CAR,14,0,159,11.4,0,11.4,0
2003,194,2639,Shad Meier,TE,TEN,13,0,159,12.2,0,10.6,1
2003,194,3683,Terry Jones,TE,BAL,19,0,159,8.4,3,9.9,0
2003,197,2606,Travis Henry,RB,BUF,28,0,158,5.6,1,10.5,0
2003,197,4287,Marc Boerigter,WR,KC,11,0,158,14.4,0,10.5,0
2003,199,4269,Ricky Williams,RB,IND,22,0,157,7.1,1,12.1,1
2003,200,2884,Marcellus Rivers,TE,NYG,17,0,155,9.1,0,12.9,0
2003,201,1824,D'Wayne Bates,WR,MIN,15,0,151,10.1,1,15.1,0
2003,202,4562,George Wrighster,TE,JAX,13,0,150,11.5,2,10.0,0
2003,203,2649,Rudi Johnson,RB,CIN,21,0,146,7.0,0,11.2,0
2003,204,1439,Cameron Cleeland,TE,STL,10,0,145,14.5,0,9.1,0
2003,205,2816,Aveion Cason,RB,DAL,17,0,142,8.4,0,14.2,0
2003,206,890,Antonio Freeman,WR,GB,14,0,141,10.1,0,9.4,0
2003,207,1393,David Patten,WR,NE,9,0,140,15.6,0,23.3,0
2003,208,1154,Jay Riemersma,TE,PIT,10,0,138,13.8,1,12.5,0
2003,209,3616,Chris Baker,TE,NYJ,14,0,137,9.8,0,8.6,0
2003,209,4597,Bobby Wade,WR,CHI,12,0,137,11.4,0,11.4,0
2003,211,1822,Steve Heiden,TE,CLE,18,0,134,7.4,0,14.9,0
2003,212,2670,Correll Buckhalter,RB,PHI,10,0,133,13.3,1,8.9,0
2003,212,3631,Justin Peelle,TE,SD,16,0,133,8.3,1,8.9,0
2003,214,2575,Michael Bennett,RB,MIN,12,0,132,11.0,0,16.5,0
2003,214,3784,Chester Taylor,RB,BAL,20,0,132,6.6,0,8.3,0
2003,216,4563,Onterrio Smith,RB,MIN,15,0,129,8.6,0,8.6,0
2003,217,4521,Teyo Johnson,TE,OAK,14,0,128,9.1,1,8.0,0
2003,218,4579,Justin Griffith,FB,ATL,21,0,122,5.8,2,7.6,0
2003,219,1468,Robert Holcombe,FB,TEN,19,0,121,6.4,1,8.1,0
2003,219,2785,Quentin McCord,WR,ATL,9,0,121,13.4,0,13.4,0
2003,221,742,Tyrone Wheatley,RB,OAK,12,0,120,10.0,0,8.0,0
2003,221,2723,Jameel Cook,FB,TB,20,0,120,6.0,1,8.6,0
2003,223,1485,Joe Jurevicius,WR,TB,12,0,118,9.8,2,23.6,0
2003,224,750,J.J. Stokes,WR,NE/JAX,13,0,116,8.9,0,23.2,0
2003,224,4619,Aaron Walker,TE,SF,8,0,116,14.5,1,7.3,0
2003,226,2006,Jim Finn,FB,NYG,14,0,115,8.2,0,7.7,0
2003,227,1123,Karl Williams,WR,TB,7,0,114,16.3,0,8.8,0
2003,227,2613,James Jackson,RB,CLE,14,0,114,8.1,0,9.5,0
2003,229,1889,Jerame Tuman,TE,PIT,12,0,113,9.4,0,7.1,0
2003,230,4614,Donald Lee,TE,MIA,7,0,110,15.7,1,6.9,0
2003,231,72,Emmitt Smith,RB,ARI,14,0,107,7.6,0,10.7,0
2003,231,2500,Dan Kreider,FB,PIT,9,0,107,11.9,0,6.7,0
2003,233,121,Larry Centers,FB,NE,19,0,106,5.6,1,11.8,0
2003,233,1253,Dedric Ward,WR,NE/BAL,7,0,106,15.1,1,26.5,0
2003,233,1579,Alvis Whitted,WR,OAK,7,0,106,15.1,1,6.6,0
2003,236,4590,LaBrandon Toefield,RB,JAX,14,0,105,7.5,1,6.6,0
2003,237,4964,Arlen Harris,RB,STL,15,0,102,6.8,0,6.4,0
2003,238,2597,LaMont Jordan,RB,NYJ,11,0,101,9.2,0,6.3,0
2003,238,5120,Aaron Moorehead,WR,IND,7,0,101,14.4,0,14.4,1
2003,240,1047,Jermaine Lewis,WR,JAX,4,0,100,25.0,1,50.0,0
2003,241,2287,Sammy Morris,RB,BUF,14,0,100,7.1,0,11.1,0
2003,241,2814,Reggie Swinton,WR,DAL/DET/GB,9,0,100,11.1,0,9.1,0
2003,241,3526,Jimmy Farris,WR,ATL,6,0,100,16.7,2,6.3,0
2003,244,2535,Troy Hambrick,RB,DAL,17,0,99,5.8,0,6.2,0
2003,245,2867,Nick Goings,RB,CAR,12,0,97,8.1,1,6.5,0
2003,246,3650,Darnell Sanders,TE,CLE,15,0,95,6.3,1,5.9,1
2003,246,4394,Dondre Gilliam,WR,SD,6,0,95,15.8,0,19.0,0
2003,246,5412,Greg Lewis,WR,PHI,6,0,95,15.8,0,8.6,0
2003,249,3546,T.J. Duckett,RB,ATL,11,0,94,8.5,0,5.9,0
2003,250,2711,Jonathan Carter,WR,NYJ,4,0,93,23.3,1,10.3,0
2003,251,1176,Antowain Smith,RB,NE,14,0,92,6.6,0,7.1,1
2003,252,2446,Zeron Flemister,TE,WSH,9,0,89,9.9,0,7.4,1
2003,253,2794,Andre King,WR,CLE,9,0,88,9.8,0,5.9,0
2003,254,709,Brian Kozlowski,TE,ATL,10,0,87,8.7,0,5.4,0
2003,254,2212,Reuben Droughns,RB,DEN,9,0,87,9.7,2,5.8,0
2003,256,389,Jerome Bettis,RB,PIT,13,0,86,6.6,0,5.4,1
2003,256,1619,Jon Ritchie,FB,PHI,17,0,86,5.1,3,5.4,0
2003,258,2668,Jabari Holloway,TE,HOU,8,0,84,10.5,0,5.6,0
2003,259,362,Sam Gash,FB,BUF,11,0,83,7.5,0,5.2,1
2003,259,925,Mike Alstott,FB,TB,10,0,83,8.3,0,20.8,0
2003,259,983,Stanley Pritchett,RB,CHI,18,0,83,4.6,0,5.2,0
2003,262,375,Dave Moore,TE,BUF,7,0,82,11.7,2,5.5,1
2003,262,4576,Jeremi Johnson,FB,CIN,15,0,82,5.5,1,5.1,0
2003,264,1794,Reggie Kelly,TE,CIN,13,0,81,6.2,1,6.8,0
2003,264,3622,Chris Hope,DB,PIT,1,0,81,81.0,1,5.1,0
2003,266,2218,Dustin Lyman,TE,CHI,11,0,80,7.3,0,8.9,0
2003,266,2398,Jermaine Wiggins,TE,CAR,8,0,80,10.0,1,5.0,0
2003,266,3576,Reche Caldwell,WR,SD,8,0,80,10.0,0,8.9,0
2003,269,2747,David Martin,TE,GB,13,0,79,6.1,2,4.9,0
2003,270,901,Tony Richardson,FB,KC,12,0,76,6.3,0,4.8,0
2003,270,1210,Kevin Lockett,WR,NYJ,5,0,76,15.2,0,25.3,0
2003,272,4769,Derick Armstrong,WR,HOU,7,0,75,10.7,1,9.4,0
2003,273,2456,Brad Hoover,FB,CAR,12,0,72,6.0,1,4.5,0
2003,273,3556,Jerramy Stevens,TE,SEA,6,0,72,12.0,0,4.5,0
2003,273,4283,Josh Norman,TE,SD,6,0,72,12.0,1,10.3,0
2003,276,1196,Corey Dillon,RB,CIN,11,0,71,6.5,0,5.5,0
2003,276,1368,Steve Bush,RB,ARI,11,0,71,6.5,1,4.4,0
2003,276,2162,Trung Canidate,RB,WSH,10,0,71,7.1,1,6.5,0
2003,276,2542,Bryan Johnson,FB,WSH,9,0,71,7.9,0,4.4,0
2003,280,1235,O.J. Santiago,TE,OAK,5,0,69,13.8,0,5.8,0
2003,281,1880,Olandis Gary,RB,DET,13,0,69,5.3,0,5.3,0
2003,281,4872,Clarence Coleman,WR,BUF,8,0,69,8.6,0,4.9,0
2003,283,2402,Todd Yoder,TE,TB,7,0,68,9.7,2,4.3,0
2003,284,4313,Jimmy Redmond,WR,JAX,3,0,67,22.3,0,5.6,0
2003,285,3697,Keith Heinrich,TE,CLE,8,0,64,8.0,2,9.1,0
2003,286,490,Lorenzo Neal,FB,SD,16,0,62,3.9,0,3.9,0
2003,286,2879,Alan Ricard,RB,BAL,9,0,62,6.9,0,3.9,0
2003,286,2893,Dominic Rhodes,RB,IND,6,0,62,10.3,1,5.6,0
2003,286,4314,Joe Burns,RB,BUF,7,0,62,8.9,0,3.9,0
2003,286,4564,Shaun McDonald,WR,STL,10,0,62,6.2,0,7.8,1
2003,291,2689,Alex Bannister,WR,SEA,3,0,61,20.3,1,3.8,0
2003,291,4551,Chris Brown,RB,TEN,8,0,61,7.6,0,5.5,0
2003,291,4566,Quentin Griffin,RB,DEN,8,0,61,7.6,0,6.1,0
2003,294,4760,David Allen,RB,JAX,6,0,60,10.0,1,4.3,0
2003,295,3612,Lamar Gordon,RB,STL,8,0,59,7.4,0,5.9,0
2003,296,2059,James Hodgins,RB,ARI,14,0,58,4.1,2,3.6,1
2003,297,3695,Verron Haynes,FB,PIT,7,0,57,8.1,0,4.8,1
2003,298,4549,Visanthe Shiancoe,TE,NYG,10,0,56,5.6,2,3.5,0
2003,299,713,Walter Rasby,TE,NO,6,0,55,9.2,0,3.4,0
2003,299,1703,Rabih Abdullah,RB,CHI,8,0,55,6.9,0,3.7,0
2003,299,2021,Stacey Mack,RB,HOU,9,0,55,6.1,0,6.9,1
2003,299,3716,Kendall Newson,WR,MIA,2,0,55,27.5,0,9.2,0
2003,303,4280,Jesse Chatman,RB,SD,5,0,54,10.8,0,3.4,0
2003,304,729,Dwayne Carswell,OG,DEN,6,0,53,8.8,1,3.3,0
2003,304,774,Zack Crockett,RB,OAK,7,0,53,7.6,0,3.3,0
2003,304,1740,Obafemi Ayanbadejo,RB,MIA,12,0,53,4.4,0,3.3,1
2003,304,2320,Mike Anderson,RB,DEN,12,0,53,4.4,2,4.4,0
2003,304,3677,Jason McAddley,WR,ARI,4,0,53,13.3,0,26.5,0
2003,304,4633,David Kircus,WR,DET,3,0,53,17.7,0,10.6,0
2003,310,2708,Eddie Berlin,WR,TEN,1,0,50,50.0,1,3.6,0
2003,310,2984,Ahmad Merritt,WR,CHI,3,0,50,16.7,0,3.3,0
2003,310,3544,William Green,RB,CLE,10,0,50,5.0,0,7.1,0
2003,313,1070,Oronde Gadsden,WR,MIA,4,0,48,12.0,0,8.0,0
2003,313,2401,Aaron Stecker,RB,TB,9,0,48,5.3,1,3.0,0
2003,313,3688,Robert Royal,TE,WSH,5,0,48,9.6,0,8.0,1
2003,316,141,Shawn Jefferson,WR,DET,6,0,46,7.7,0,6.6,0
2003,316,4644,Zuriel Smith,WR,DAL,3,0,46,15.3,0,5.1,0
2003,318,2263,Paul Smith,RB,DET,5,0,45,9.0,0,6.4,0
2003,319,933,Rickey Dudley,TE,TB,7,0,42,6.0,1,6.0,0
2003,320,2087,Ryan Neufeld,FB,BUF,3,0,41,13.7,0,2.6,0
2003,321,2664,Moran Norris,RB,HOU,7,0,40,5.7,0,2.5,0
2003,321,4557,Artose Pinner,RB,DET,5,0,40,8.0,0,13.3,0
2003,323,637,Dorsey Levens,RB,NYG,5,0,39,7.8,0,3.5,0
2003,323,756,Warren Sapp,DT,TB,4,0,39,9.8,2,2.6,0
2003,325,102,Brian Mitchell,RB,NYG,4,0,38,9.5,0,2.4,0
